college_conference,Sum of Neighbour's Edge Weights
Southeastern Conference,86084228.3
Big Ten Conference,63475225.28
Atlantic Coast Conference,57481874.55
Pacific Twelve Conference,54867659.93
Big Twelve Conference,43974659.48
American Athletic Conference,25196975.51
Conference USA,22900613.67
Mountain West Conference,19811285.46
Independent,14721558.8
Mid-American Conference,14003713.94
Sun Belt Conference,10618664.26
Missouri Valley Football Conference,8479698.39
Big East,8374074.14
Pacific Ten Conference,7735927.18
Big Sky Conference,5172819.52
Ivy League,4894326.05
Colonial Athletic Association,4705582.73
Ohio Valley Conference,3936780.02
Southern Conference,3589273.73
Pioneer Football League,3259356.21
Great Lakes Intercollegiate Athletic Conference,3123687.08
Southwestern Athletic Conference,2678654.87
NO FOOTBALL,2525466.15
Gulf South Conference,2228081.58
Western Athletic Conference,2140265.52
Great American Conference,1846586.38
Southland Conference,1811132.61
Northern Sun Intercollegiate Conference,1741168.07
Mid-America Intercollegiate Athletic Association,1560307.89
Pennsylvania State Athletic Conference,1519472.99
Northeast Conference,1436742.64
Big South Conference,1426955.56
Patriot League,1305494.01
Wisconsin Intercollegiate Athletic Conference,914187.23
Northeast-10 Conference,899888.16
Mid-Eastern Athletic Conference,889338.38
Midwest Conference,801412.62
Rocky Mountain Athletic Conference,738399.81
Central Intercollegiate Athletic Association,665776.95
Great Northwest Athletic Conference,646828.81
South Atlantic Conference,595029.59
Mountain East Conference,503008.01
Canada West Universities Athletic Association,455132.38
Quebec Student Sports Foundation,425312.97
Lone Star Conference,425044.88
Southern Intercollegiate Athletic Conference,393392.11
Ohio Athletic Conference,371499.42
Minnesota Intercollegiate Athletic Conference,357985.39
Mid-States Football Association,265041.84
Southern Athletic Association,238972.48
New Jersey Athletic Conference,126745.85
Big South - Ohio Valley Conference,114336.05
Mid-South Conference,82411.77
