college_conference,mean_neighbor_edge_weight
Mid-States Football Association,132.26167568057042
Big South - Ohio Valley Conference,131.57878025889974
Western Athletic Conference,129.78832606444524
New Jersey Athletic Conference,128.85053515367724
Southern Intercollegiate Athletic Conference,121.17738704705148
Quebec Student Sports Foundation,120.36388467819422
South Atlantic Conference,119.93671169838377
Great Lakes Intercollegiate Athletic Conference,119.70718439768969
Missouri Valley Football Conference,118.24779993591054
Big East,117.88627751892439
Mid-America Intercollegiate Athletic Association,117.87119873526359
Mountain West Conference,116.08390976303873
Big Sky Conference,114.84291518765717
Great American Conference,114.7319420519623
Wisconsin Intercollegiate Athletic Conference,114.05327351197839
Mid-American Conference,113.968095937167
Great Northwest Athletic Conference,113.72290983477636
Ohio Athletic Conference,113.68420668308435
Pacific Ten Conference,113.66989493975338
Big Ten Conference,113.66198904671721
Sun Belt Conference,113.66167597530026
Pacific Twelve Conference,113.46386895057742
Ivy League,113.34429962986341
Southern Conference,113.30092261424177
Conference USA,112.9426615106617
Atlantic Coast Conference,112.90857938739877
Big Twelve Conference,112.90729185863867
Midwest Conference,112.74570978302378
Ohio Valley Conference,112.55324045481244
American Athletic Conference,112.31311326123244
Northeast-10 Conference,112.30163856651052
Southwestern Athletic Conference,111.83095878547682
Southeastern Conference,111.59297565468346
Pennsylvania State Athletic Conference,110.52698255935962
Northeast Conference,110.44249864026696
Independent,110.37531133453776
NO FOOTBALL,110.36217734792254
Colonial Athletic Association,110.14672212253912
Rocky Mountain Athletic Conference,110.09964994806114
Southland Conference,109.71303616351429
Gulf South Conference,109.7094091381332
Pioneer Football League,109.18849363162025
Northern Sun Intercollegiate Conference,108.96579363542666
Mid-Eastern Athletic Conference,108.91447590693667
Canada West Universities Athletic Association,108.39834366895703
Mid-South Conference,107.39283615182265
Minnesota Intercollegiate Athletic Conference,107.29102660935257
Patriot League,105.85322692423586
Mountain East Conference,105.76283699633869
Central Intercollegiate Athletic Association,105.42475195294342
Big South Conference,105.40969675052574
Southern Athletic Association,104.66559670803622
Lone Star Conference,103.33998683399413
